"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"5v_in1","1","10164359-00011LF","","","","10164359-00011LF:AMPHENOL_10164359-00011LF",""
"C1,C2,C7","3","0.1µF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C5,C6,C27","3","10µF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A106KPFNNNE/3886710,~"
"D1,D2","2","LED","","","","PCM_LED_SMD_Handsoldering_AKL:LED_1206_3216Metric_Pad1.42x1.75mm","~"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_2.7mm_M2.5_ISO14580","~"
"J1","1","Raspberry Pi Header","","","","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","~"
"J2","1","Relay terminal 1","","","","Ians_Parts:PHOENIX_1990083","~"
"J3","1","Relay terminal 2","","","","Ians_Parts:PHOENIX_1990083","~"
"J4","1","I2C 5V 1","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J5","1","I2C 5V 2","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J6","1","To Flow Sensor","","","","Ians_Parts:PHOENIX_1729131","~"
"J7","1","Conn_01x06_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"J22","1","Relay terminal 1","","","","Connector_Molex:Molex_SL_171971-0010_1x10_P2.54mm_Vertical","~"
"J23","1","Relay terminal 2","","","","Connector_Molex:Molex_SL_171971-0010_1x10_P2.54mm_Vertical","~"
"Q1,Q2","2","BSS138","","","","PCM_Package_TO_SOT_SMD_AKL:SOT-23","https://www.tme.eu/Document/2b32cdd3c66afedbcd628e73d93ae817/BSS138-7-F.pdf"
"R1,R9,R10,R11,R12","5","10k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R3","1","1.5k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R4,R5","2","5.1k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R6","1","470","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"SW1","1","SW_Slide_DPDT","","","","Ians_Parts:DPDT Slide switch - CL-SB-22C-02","~"
"U1,U2","2","74HC595","","","","Package_DIP:DIP-16_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/sn74hc595.pdf"
"U3","1","113991054","","","","113991054:MODULE_113991054","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6209/Seeed%20113991054.pdf?_gl=1*uuyo8x*_up*MQ..*_gs*MQ..&gclid=EAIaIQobChMIo733laWJkQMVLyvUAR3DYA6NEAQYASABEgKQTfD_BwE&gclsrc=aw.ds&gbraid=0AAAAADrbLliEfA_UR8WAAgBZCKGXP79s6"
